ORAINI,DAY_AHEAD_TOTAL_LOAD_MW_MSUD,ACTUAL_TOTAL_LOAD_MW_MSUD,DAY_AHEAD_TOTAL_LOAD_MW_NORD,ACTUAL_TOTAL_LOAD_MW_NORD
2019-01-01 00:00:00,11956.0,12133.0,11110.0,11511.0
2019-01-01 01:00:00,11484.0,11811.0,10675.0,11039.0
2019-01-01 02:00:00,10855.0,11170.0,10080.0,10430.0
2019-01-01 03:00:00,10134.0,10444.0,9793.0,9811.0
2019-01-01 04:00:00,9817.0,9985.0,9485.0,9474.0
2019-01-01 05:00:00,9723.0,9841.0,9730.0,9662.0
2019-01-01 06:00:00,10010.0,10075.0,10318.0,10305.0
2019-01-01 07:00:00,10098.0,10110.0,10869.0,10723.0
2019-01-01 08:00:00,10367.0,10640.0,10664.0,10559.0
2019-01-01 09:00:00,11227.0,11502.0,11067.0,10839.0
2019-01-01 10:00:00,12400.0,12297.0,11484.0,11398.0
2019-01-01 11:00:00,13178.0,12596.0,12005.0,11951.0
2019-01-01 12:00:00,13471.0,13192.0,12078.0,11980.0
2019-01-01 13:00:00,12699.0,12661.0,11589.0,11309.0
2019-01-01 14:00:00,12029.0,11719.0,11573.0,11369.0
2019-01-01 15:00:00,12120.0,11890.0,11969.0,11667.0
2019-01-01 16:00:00,12808.0,12461.0,12508.0,12514.0
2019-01-01 17:00:00,14181.0,13996.0,14024.0,14523.0
2019-01-01 18:00:00,14864.0,14550.0,15038.0,15198.0
2019-01-01 19:00:00,15276.0,14968.0,15375.0,15498.0
2019-01-01 20:00:00,15559.0,15014.0,14933.0,14860.0
2019-01-01 21:00:00,14913.0,14512.0,14198.0,14056.0
2019-01-01 22:00:00,13929.0,13630.0,13045.0,12931.0
2019-01-01 23:00:00,12622.0,12208.0,11640.0,11696.0
2019-01-02 00:00:00,10780.0,10771.0,10857.0,10878.0
2019-01-02 01:00:00,9866.0,9854.0,9929.0,10223.0
2019-01-02 02:00:00,9342.0,9363.0,9567.0,9937.0
2019-01-02 03:00:00,9125.0,9180.0,9481.0,9762.0
2019-01-02 04:00:00,9152.0,9264.0,9682.0,10022.0
2019-01-02 05:00:00,9639.0,9909.0,10506.0,11084.0
2019-01-02 06:00:00,11169.0,11422.0,12894.0,13411.0
2019-01-02 07:00:00,13177.0,13373.0,15800.0,16070.0
2019-01-02 08:00:00,15462.0,15262.0,18504.0,18201.0
2019-01-02 09:00:00,17395.0,16880.0,20134.0,19011.0
2019-01-02 10:00:00,17659.0,17155.0,20441.0,18901.0
2019-01-02 11:00:00,17742.0,17270.0,19975.0,18853.0
2019-01-02 12:00:00,17364.0,17563.0,17780.0,18303.0
2019-01-02 13:00:00,16502.0,17104.0,17519.0,17933.0
2019-01-02 14:00:00,16659.0,17187.0,18433.0,18076.0
2019-01-02 15:00:00,17233.0,17145.0,18899.0,18545.0
2019-01-02 16:00:00,17970.0,17914.0,20768.0,19285.0
2019-01-02 17:00:00,19556.0,19413.0,21934.0,20768.0
2019-01-02 18:00:00,19617.0,19492.0,21416.0,20768.0
2019-01-02 19:00:00,19586.0,19396.0,20826.0,20235.0
2019-01-02 20:00:00,18626.0,18480.0,19033.0,18712.0
2019-01-02 21:00:00,17273.0,16995.0,17315.0,17296.0
2019-01-02 22:00:00,15533.0,15359.0,15525.0,15558.0
2019-01-02 23:00:00,13714.0,13544.0,13823.0,13948.0
2019-01-03 00:00:00,12207.0,12107.0,12778.0,12505.0
2019-01-03 01:00:00,11171.0,10991.0,11819.0,11674.0
2019-01-03 02:00:00,10551.0,10343.0,11309.0,11301.0
2019-01-03 03:00:00,10230.0,10089.0,11032.0,11241.0
2019-01-03 04:00:00,10109.0,10239.0,11109.0,11454.0
2019-01-03 05:00:00,10561.0,10780.0,11944.0,12283.0
2019-01-03 06:00:00,11881.0,12483.0,14003.0,14548.0
2019-01-03 07:00:00,14001.0,14323.0,16624.0,17347.0
2019-01-03 08:00:00,16116.0,16544.0,18889.0,19415.0
2019-01-03 09:00:00,17879.0,18183.0,19578.0,20193.0
2019-01-03 10:00:00,18161.0,18515.0,19295.0,20173.0
2019-01-03 11:00:00,17890.0,18203.0,19229.0,20007.0
2019-01-03 12:00:00,18035.0,18074.0,18991.0,18969.0
2019-01-03 13:00:00,17617.0,17820.0,18339.0,18665.0
2019-01-03 14:00:00,17062.0,18042.0,18120.0,18965.0
2019-01-03 15:00:00,17135.0,18125.0,18666.0,19287.0
2019-01-03 16:00:00,17326.0,18884.0,19336.0,20066.0
2019-01-03 17:00:00,19084.0,20482.0,21415.0,21448.0
2019-01-03 18:00:00,19709.0,20537.0,21969.0,21510.0
2019-01-03 19:00:00,19793.0,20370.0,21615.0,21017.0
2019-01-03 20:00:00,18906.0,19306.0,19731.0,19475.0
2019-01-03 21:00:00,17504.0,17945.0,18214.0,17855.0
2019-01-03 22:00:00,16078.0,16092.0,16465.0,16087.0
2019-01-03 23:00:00,14156.0,14168.0,14740.0,14593.0
2019-01-04 00:00:00,13005.0,12565.0,13434.0,13339.0
2019-01-04 01:00:00,11750.0,11477.0,12523.0,12653.0
2019-01-04 02:00:00,11002.0,10924.0,12053.0,12275.0
2019-01-04 03:00:00,10765.0,10666.0,12024.0,12006.0
2019-01-04 04:00:00,10909.0,10742.0,12185.0,12125.0
2019-01-04 05:00:00,11365.0,11360.0,12877.0,13047.0
2019-01-04 06:00:00,12845.0,12894.0,14922.0,14933.0
2019-01-04 07:00:00,14609.0,14798.0,17890.0,17907.0
2019-01-04 08:00:00,16761.0,17448.0,20084.0,19948.0
2019-01-04 09:00:00,18547.0,19422.0,21084.0,20785.0
2019-01-04 10:00:00,19056.0,19924.0,20974.0,20875.0
2019-01-04 11:00:00,18785.0,20139.0,20710.0,20863.0
2019-01-04 12:00:00,18574.0,19490.0,19524.0,19772.0
2019-01-04 13:00:00,18441.0,18529.0,18896.0,19273.0
2019-01-04 14:00:00,18482.0,18605.0,19495.0,19398.0
2019-01-04 15:00:00,18812.0,18690.0,19967.0,19596.0
2019-01-04 16:00:00,19432.0,19149.0,20621.0,20562.0
2019-01-04 17:00:00,20846.0,20663.0,21927.0,22043.0
2019-01-04 18:00:00,21283.0,20769.0,22214.0,21993.0
2019-01-04 19:00:00,21177.0,20700.0,21739.0,21284.0
2019-01-04 20:00:00,20450.0,19552.0,20078.0,19815.0
2019-01-04 21:00:00,18872.0,18084.0,18638.0,18169.0
2019-01-04 22:00:00,17260.0,16388.0,16900.0,16437.0
2019-01-04 23:00:00,15326.0,14570.0,15055.0,15061.0
2019-01-05 00:00:00,12834.0,12743.0,13746.0,13312.0
2019-01-05 01:00:00,11750.0,11715.0,12935.0,12422.0
2019-01-05 02:00:00,11100.0,10968.0,12388.0,11849.0
2019-01-05 03:00:00,10736.0,10833.0,11955.0,11800.0
